title,abstract,authors,keywords,year,journal,doi,url,volume,number,pages,issn,source
Generative Artificial Intelligence and Usage in Academia.,"Artificial intelligence is not a new concept. However, it has reached an important point with technological development. Today, there are many software developed using artificial intelligence and various application areas where they are used. Generative artificial intelligence, one of these areas, is a technology in machine learning of artificial intelligence, aiming to generate new content by training on large data sets. Generative artificial intelligence is used in fields such as health, business, finance, e-commerce, academic studies, and R&D. This study evaluates the use of generative artificial intelligence applications in the academic field. In this context, the differences and similarities between texts generated by ChatGPT, Claude Sonet, and Google Gemini generative artificial intelligence applications and texts prepared by human intelligence were analyzed regarding subject integrity, language, ethics, and plagiarism rate. Descriptive content analysis, one of the qualitative m","Yoşumaz, İsmail",Generative artificial intelligence; Artificial intelligence; Gemini (Chatbot); Big data; Machine learning,2025,Firat University Journal of Social Sciences / Firat Üniversitesi Sosyal Bilimler Dergisi,,https://research.ebsco.com/plink/503b692d-737b-3cc4-ad96-943c564437ad,35,1,1-24,1300-9702,academicsearchultimate
GENERATIVE ARTIFICIAL INTELLIGENCE: LEGAL CHALLENGES REGARDING COPYRIGHT IN THE USE OF CHATBOTS.,"Generative Artificial Intelligence (GAI) is derived from Artificial Intelligence that uses deep learning techniques to consequently generate new, human-like content, such as text, images, audio, and video. The objectives of this study were to conduct a review of the legal challenges related to copyright in the use of GAI, to formulate questions about these challenges, to query the five most popular chatbots, and to analyze their responses in comparison to the current literature. A Scoping Review was conducted using the criteria of Cochrane Systematic Reviews combined with PRISMA, in the Scopus database. Through selection and classification methods, 86 articles were analyzed, indicating that the main challenges were: the lack of clear legislation defining who holds the rights to works and content created by GAI, the practice of web scraping in model training that violates data protection laws (LGPD), and the lack of regulation regarding the use of this technology for academic and scien","dos Santos Machado, José and Rodrigues Holanda, Francisco Sandro and Pimenta Neto, Valdir Ribeiro and Cavalcante Menezes, Adauto",Generative artificial intelligence; Copyright; Data protection laws; Copyright lawsuits; Government regulation; Chatbots; Deep learning; QUERY (Information retrieval system),2025,Revista Foco (Interdisciplinary Studies Journal),,https://research.ebsco.com/plink/b5c8519f-f307-30ae-8aa7-1bdfa25b7e1b,18,11,1-30,1981-223X,academicsearchultimate
Generative artificial intelligence in healthcare: current status and future directions.,"Generative artificial intelligence (GAI) is rapidly transforming the healthcare landscape, offering innovative solutions in areas such as medical imaging, drug discovery, and clinical decision support. This comprehensive review examines the current role of GAI in healthcare, its potential benefits, drawbacks, challenges, and future research directions. By synthesizing recent literature and expert perspectives, this review provides a critical analysis of GAI's impact on healthcare delivery, patient outcomes, and ethical considerations. While GAI shows promise in enhancing diagnostic accuracy, accelerating drug development, and improving healthcare efficiency, it also faces significant challenges related to data privacy, regulatory compliance, and ethical implementation. This review aims to inform healthcare professionals, researchers, and policymakers about the current state and future potential of GAI in healthcare, emphasizing the need for responsible development and deployment of th","Ouanes, Khaled",Generative artificial intelligence; Clinical decision support systems; Data privacy; Medical informatics; Drug discovery,2024,Italian Journal of Medicine,,https://research.ebsco.com/plink/d8f6fd60-e0ab-3020-bb97-84a8781e69ab,18,3,1-4,1877-9344,academicsearchultimate
Generative artificial intelligence: a historical perspective.,"Generative artificial intelligence (GAI) has recently achieved significant success, enabling anyone to create texts, images, videos and even computer codes while providing insights that might not be possible with traditional tools. To stimulate future research, this work provides a brief summary of the ongoing and historical developments in GAI over the past 70 years. The achievements are grouped into four categories: (i) rule-based generative systems that follow specialized rules and instructions, (ii) model-based generative algorithms that produce new content based on statistical or graphical models, (iii) deep generative methodologies that utilize deep neural networks to learn how to generate new content from data and (iv) foundation models that are trained on extensive datasets and capable of performing a variety of generative tasks. This paper also reviews successful generative applications and identifies open challenges posed by remaining issues. In addition, this paper describe","He, Ran and Cao, Jie and Tan, Tieniu",Generative artificial intelligence; Artificial neural networks; Artificial intelligence; Computer programming; Statistical models; Statistical learning; Computer systems design and related services (except video game design and development); Other Computer Related Services; Custom Computer Programming Services,2025,National Science Review,,https://research.ebsco.com/plink/a20dd9cc-7b76-342a-b417-fcce04ec8891,12,5,1-15,2095-5138,academicsearchultimate
Can generative AI help realize the shift from an outcome-oriented to a process-outcome-balanced educational practice?,"Generative Artificial Intelligence (AI), especially machine learning models that autonomously generate human-like content, has recently attracted significant attention in the education sector. This paper explores the potential of generative AI, including tools like ChatGPT, to shift from traditional outcome-oriented educational practices to a more balanced approach that values both the learning process and its outcomes. Traditionally, education has emphasized achieving predefined results, but the advent of generative AI tools, which enable students to easily produce tangible results, calls for a reevaluation of these practices. This shift suggests a need for a broader focus that encompasses the entire learning process leading to the final product, thereby promoting an educational practice that equally emphasizes both the journey and the destination of learning. Recognizing that the implementation of such practices, facilitated by generative AI, still requires exploration, this paper p",Yueh-hui Vanessa Chiang and Maiga Chang and Nian-Shing Chen,Generative artificial intelligence; Experiential learning; Artificial intelligence; Learning; ChatGPT,2024,Educational Technology & Society,,https://research.ebsco.com/plink/f071d2ca-6ab6-368d-9fd7-43397c03e8f2,27,2,347-385,1176-3647,academicsearchultimate
"When geoscience meets generative AI and large language models: Foundations, trends, and future challenges.","Generative Artificial Intelligence (GAI) represents an emerging field that promises the creation of synthetic data and outputs in different modalities. GAI has recently shown impressive results across a large spectrum of applications ranging from biology, medicine, education, legislation, computer science, and finance. As one strives for enhanced safety, efficiency, and sustainability, generative AI indeed emerges as a key differentiator and promises a paradigm shift in the field. This article explores the potential applications of generative AI and large language models in geoscience. The recent developments in the field of machine learning and deep learning have enabled the generative model's utility for tackling diverse prediction problems, simulation, and multi‐criteria decision‐making challenges related to geoscience and Earth system dynamics. This survey discusses several GAI models that have been used in geoscience comprising generative adversarial networks (GANs), physics‐info","Hadid, Abdenour and Chakraborty, Tanujit and Busby, Daniel",Generative artificial intelligence; Language models; Generative adversarial networks; Artificial intelligence; Machine learning; Deep learning,2024,Expert Systems,,https://research.ebsco.com/plink/871f0bdb-830d-3b6f-b52e-2c109de3e62d,41,10,1-16,0266-4720,academicsearchultimate
Using GAI for Lesson Planning in Teacher Education: Connecting Content Knowledge to Psycho-pedagogical Theories.,"Generative artificial intelligence (GAI) is a recent technology with valuable contributions to many educational fields, including initial and continuing teacher education. An essential component of teacher training is related to lesson planning, namely the step-by-step anticipation of the stages of educational actions, integrating strategic decisions about what students will learn and how they will learn. Developing lesson planning skills is a complex process that takes place over years of initial and continuing training, through theoretical courses and consistent teaching practicum. The major goal of this article is to present prompting-engineering good practices that contribute to innovative and relevant lesson planning. Access through GAI to a huge amount of theoretical data offers the unique opportunity to facilitate the construction of lesson plans according to the many existing psycho-pedagogical frameworks from the research literature. Psycho-pedagogical models and theories can","GHIAȚĂU, Roxana",Generative artificial intelligence; Lesson planning; Teacher education; Educators; Practicums; Learning theories in education; Educational technology,2025,"Journal of Innovation in Psychology, Education & Didactics",,https://research.ebsco.com/plink/4d2db462-da54-3f61-b910-54c8d604990b,29,2,153-160,2247-4579,academicsearchultimate
A study on the perception of Generative AI in higher education students and teachers.,"Introduction: generative Artificial Intelligence (GAI) represents a disruptive technological advancement that is profoundly transforming higher education worldwide. In response, several organizations, including UNESCO, have developed guidelines promoting the responsible integration of AI in educational and research contexts, emphasizing its supportive and human-centered role. Objectives: this study aimed to analyze the perception of generative AI in higher education by examining the frequency of use, perceptions of its future impact, and awareness of ethical and privacy risks. Methodology: data were collected through instruments administered to faculty members and undergraduate students at the University of Córdoba, Colombia. This dual perspective allowed comparison between academic and student viewpoints, contributing to the growing discussion on the role of GAI in higher education and research. Results: findings reveal that the adoption of GAI is increasingly widespread among both f","Gómez Gómez, Jorge and Salas Álvarez, Daniel and Hernández Riano, Velssy",Generative artificial intelligence; Higher education; Students; Teachers; Ethical problems; Perception (Philosophy); Colombia,2025,Ingeniería y Competitividad,,https://research.ebsco.com/plink/60d4da77-a8a3-3d53-a047-5888fd8befdb,27,3,1-25,0123-3033,academicsearchultimate
"Generative AI for the Internet of Vehicles: A Review of Advances in Training, Decision-Making, and Security.","Generative artificial intelligence (GAI) has emerged as a transformative force in the Internet of Vehicles (IoV), addressing limitations of traditional AI such as reliance on large labeled datasets and narrow task applicability. This paper aims to systematically review recent advances in applying GAI to the IoV, with a focus on training, decision-making, and security. We begin by introducing the fundamental concepts of vehicular networks and GAI, laying the groundwork for readers to better understand the subsequent sections. Methodologically, we adopt a structured literature review, covering developments in synthetic data generation, dynamic scene reconstruction, traffic flow prediction, anomaly detection, communication management, and resource allocation. In particular, we integrate multimodal GAI capabilities with 5G/6G-enabled edge computing to support low-latency, reliable, and adaptive vehicular network services. Our synthesis identifies key technical challenges, including lightw","Yuan, Xiaoming and Zhang, Xinling and Wang, Aiwen and Zhou, Jiaxin and Du, Yingying and Deng, Qingxu and Liu, Lei",Generative artificial intelligence; Decision making; Intelligent transportation systems; Scientific method; Edge computing; Security management; Traffic estimation,2025,Mathematics (2227-7390),,https://research.ebsco.com/plink/8b4a7a03-955a-3c35-ba77-089931e6ff23,13,17,2795-null,2227-7390,academicsearchultimate
Generative AI for content discovery in academic publishing: A content provider's perspective.,"Generative Artificial Intelligence (GAI) is reshaping the landscape of content discovery, access, and usage within the academic publishing ecosystem. This paper examines the complex relationships between content providers and GAI, focusing on the multifaceted roles that publishers play as consumers, developers, feeders, and influencers of GAI technologies. It explores the ethical considerations, policy developments, and principles guiding the use of GAI in academic publishing. The paper also analyzes the impact of GAI-assisted search on content discoverability, linkability, accessibility, and trackability. By auditing current GAI tools and discussing the dilemma of blocking GAI bots, the paper highlights the challenges and opportunities that GAI presents. Finally, it calls for collaborative efforts among stakeholders to promote ethical AI practices and introduces future directions, including the upcoming NISO Open Discovery Initiative survey on GAI.","Zhu, Julie",Generative artificial intelligence; Scholarly publishing; Intellectual property; Technological innovations; Scholarly communication; Book Publishers,2025,Information Services & Use,,https://research.ebsco.com/plink/cb7c56bb-ac89-340e-a372-b213012445b6,45,1/2,48-55,0167-5265,academicsearchultimate
GENERATIVE ARTIFICIAL INTELLIGENCE IN SCIENCE EDUCATION AND TEACHER TRAINING: DEVELOPMENT OF A DATA COLLECTION INSTRUMENT.,"Generative Artificial Intelligence (GAI) is rapidly transforming various sectors, including science and education. In the educational sector, GAI offers opportunities, such as personalized learning and the reduction of teacher workload, alongside challenges, like balancing the advantages of GAI with students' independent problem-solving skills, but also the potential exacerbation of the digital divide. Consequently, educational stakeholders must critically assess GAI's capabilities while remaining cognizant of its potential risks. This article aims to detail the development of a data collection instrument specifically designed to qualitatively explore the perspectives of key stakeholders regarding the integration of GAI in Science Education. The developed instrument is grounded in established theoretical frameworks, notably the Intelligent Technology, Pedagogy, and Content Knowledge model (Intelligent TPACK) and the Technology Acceptance Model (TAM), which are instrumental in understa","Monteiro, Juliana C. C. and Marques, Margarida M. and Pombo, Lúcia",Generative artificial intelligence; Science education; Educational technology; Questionnaires; Teacher training; Technology Acceptance Model; Artificial intelligence & ethics,2025,International Conference on e-Learning,,https://research.ebsco.com/plink/8a39ff44-0d64-3565-bfb1-0444c7d8df8a,null,null,97-104,,academicsearchultimate
Exploring Generative Artificial Intelligence (GAI): Business Professionals' Surveys and Perceptions on GAI.,"Generative AI (GAI) marks significant advancements in technology and machine learning models. It has achieved a newer and higher level of creativity and innovation through the AI system. With such rapid growth and boom in GAI, gaps exist in the current literature about the organizations and individual levels of applying GAI. The researchers conducted a mixed-methods study to explore business professionals' experiences and perceptions of using GAI. This current study examined the purpose of using GAI and the statistically significant differences in productivity before using GAI versus after using GAI. The impact of gender, age, and educational background on work productivity while using GAI was also investigated. Furthermore, this study researched the most prominent GAI tools these business professionals use. The advantages and disadvantages of using GAI were analyzed through detailed content analyses of the qualitative data using NVIVO and SQL. This study highlights the vital impact o","Danxia Chen and Jefferson, Cicely and Hix, Joanne and Qin, Nathan and Yumeng Cao",Generative artificial intelligence; Machine learning; Businesspeople; Labor productivity; Educational background,2024,Journal of Behavioral & Applied Management,,https://research.ebsco.com/plink/7794dbb1-166d-3180-bcc4-b6ed859f1afe,24,2,79-89,1930-0158,academicsearchultimate
How generative artificial intelligence empowers research in the energy economy field: a scientific knowledge map analysis based on CiteSpace.,"Generative artificial intelligence (GAI), as a breakthrough in the field of AI in recent years, is reshaping the production mode and creativity boundary of human society in an unprecedented way. This paper examines 12,114 SCI/SSCI documents included in Web of Science from 1988 to 2024 as the research object. It uses CiteSpace software to explore the development lineage, research hotspots, empowerment paths, and future trends of GAI in the field of energy economy research in terms of temporal distribution, institutional distribution, keyword co-occurrence, and theme clustering. The research results show that: (1) In terms of the timeline perspective, GAI-empowered energy economy research as a whole shows a fluctuating upward trend, beginning to sprout in 1988, entering a period of development with steady growth from 2009, and showing a boom period of explosive growth from 2017 to the present. (2) In terms of spatial distribution, the distribution of countries and regions, and research","Wang, Yujie and Qin, Muyao and Miao, Qing and Wang, Xinru",Generative artificial intelligence; Energy economics; Carbon emissions; Information storage & retrieval systems; Renewable energy sources; Process optimization; Bibliometrics,2025,Carbon Management,,https://research.ebsco.com/plink/76ad4230-a986-30b2-89a5-8c0bc38e418b,16,1,1-22,1758-3004,academicsearchultimate
Introduction to Generative Artificial Intelligence: Contextualizing the Future.,"* Context.--Generative artificial intelligence (GAI) is a promising new technology with the potential to transform communication and workflows in health care and pathology. Although new technologies offer advantages, they also come with risks that users, particularly early adopters, must recognize. Given the fast pace of GAI developments, pathologists may find it challenging to stay current with the terminology, technical underpinnings, and latest advancements. Building this knowledge base will enable pathologists to grasp the potential risks and impacts that GAI may have on the future practice of pathology. Objective.--To present key elements of GAI development, evaluation, and implementation in a way that is accessible to pathologists and relevant to laboratory applications. Data Sources.--Information was gathered from recent studies and reviews from PubMed and arXiv. Conclusions.--GAI offers many potential benefits for practicing pathologists. However, the use of GAI in clinical pr","Singh, Rajendra and Ji Yeon Kim and Glassy, Eric F. and Dash, Rajesh C. and Brodsky, Victor and Seheult, Jansen and de Baca, M. E. and Qiangqiang Gu and Hoekstra, Shannon and Pritt, Bobbi S.",Generative artificial intelligence; Pathology; Natural language processing; Workflow; Professions; Communication; Deep learning; Machine learning; Automation; Professional Organizations,2025,Archives of Pathology & Laboratory Medicine,,https://research.ebsco.com/plink/4b8c53cd-1b24-3d3d-8a14-5760d2def474,149,2,112-122,0003-9985,academicsearchultimate
Integrating Machine Learning Techniques and the Theory of Planned Behavior to Assess the Drivers of and Barriers to the Use of Generative Artificial Intelligence: Evidence in Spain.,"Generative artificial intelligence (GAI) is emerging as a disruptive force, both economically and socially, with its use spanning from the provision of goods and services to everyday activities such as healthcare and household management. This study analyzes the enabling and inhibiting factors of GAI use in Spain based on a large-scale survey conducted by the Spanish Center for Sociological Research on the use and perception of artificial intelligence. The proposed model is based on the Theory of Planned Behavior and is fitted using machine learning techniques, specifically decision trees, Random Forest extensions, and extreme gradient boosting. While decision trees allow for detailed visualization of how variables interact to explain usage, Random Forest provides an excellent model fit (R<sup>2</sup> close to 95%) and predictive performance. The use of Shapley Additive Explanations reveals that knowledge about artificial intelligence, followed by innovation orientation, is the main e","Pérez-Portabella, Antonio and Andrés-Sánchez, Jorge de and Arias-Oliva, Mario and Souto-Romero, Mar",Generative artificial intelligence; Planned behavior theory; Innovation adoption; Machine learning; Prediction models; Sociological research; Spain; Research and Development in the Social Sciences and Humanities,2025,Algorithms,,https://research.ebsco.com/plink/1fb178e4-cbca-32aa-8721-fde3891c0e66,18,7,410-null,1999-4893,academicsearchultimate
Perceptions of Generative Artificial Intelligence Among Biomedical Academics with Career Trajectories in Healthcare: A Mixed Methods Study.,"Generative Artificial Intelligence (GenAI) has been a viable technology for decades, yet widespread adoption in healthcare and academic settings has remained limited to research. One possible explanation for this is limited understanding about the beliefs around GenAI use amongst faculty and students training in biomedical disciplines that frequently lead to non-physician healthcare careers, including physical therapy (PT), occupational therapy (OT), allied health (AH), and biomedical engineering (BME). Furthermore, no known studies exist assessing differences that may exist across those disciplines. Given the significant number of professionals in those disciplines and the outsized impact they have on the healthcare system, investigating their beliefs around GenAI use is vital before widespread adoption. Accordingly, we investigated the perceptions of GenAI among students and faculty in the aforementioned fields that frequently lead to careers in healthcare. We found that knowledge o","Chapman, Ryan M. and Chapman, Carrie E. and Johnson, Heather E. and Chapman, David D.",Generative artificial intelligence; Allied health education; Ethical problems; Sociology; Education ethics; Mixed methods research; Effective teaching; Allied health personnel; All Other Miscellaneous Schools and Instruction; Educational Support Services; Administration of Education Programs,2026,AI,,https://research.ebsco.com/plink/fce1193e-4036-326f-bccc-6577b103d08e,7,3,106-null,2673-2688,academicsearchultimate
Examining the Role of Generative AI in Enhancing Social Work Education: An Analysis of Curriculum and Assessment Design.,"Generative Artificial Intelligence (GAI) holds significant potential to advance the field of social work, yet it brings forth considerable challenges and risks. Key concerns include the legal and ethical ramifications of GAI application, as well as its effects on the vital human connections inherent in social work. Nonetheless, educators in this field must ready their students for the evolving digital environment, ensuring they are adept at employing GAI thoughtfully, skillfully, and ethically. This article will explore the integration of GAI knowledge and skills within educational settings. It will feature a case study detailing the author's redesign of community welfare and social work degree assignments to include GAI within a community welfare/social work undergraduate course in Queensland, Australia. The discussion will extend to curriculum and assessment development processes aimed at leveraging GAI to enhance student learning, knowledge retention, and confidence in applying GAI","Reimer, Elizabeth Claire","Generative artificial intelligence; Social work education; Public welfare; Digital technology; Social services; Other Individual and Family Services; Administration of Human Resource Programs (except Education, Public Health, and Veterans' Affairs Programs); Emergency and Other Relief Services; Health and Welfare Funds",2024,Social Sciences (2076-0760),,https://research.ebsco.com/plink/80895773-5eed-34b7-b87e-068539c258cf,13,12,648-null,2076-0760,academicsearchultimate
The analysis of generative artificial intelligence technology for innovative thinking and strategies in animation teaching.,"This work examines the application of Generative Artificial Intelligence (GAI) technology in animation teaching, focusing on its role in enhancing teaching quality and learning efficiency through innovative instructional strategies. Compared to traditional animation teaching methods, GAI technology introduces a novel pedagogical paradigm characterized by adaptive personalized learning pathways, intelligent teaching resource optimization, and immersive interactive learning models. A mixed-methods research approach is adopted, integrating quantitative analysis (experimental data and questionnaire surveys) and qualitative analysis (behavioral observations) to systematically assess the educational effectiveness of GAI technology. The experiment, conducted over 12 weeks, involved 120 students divided into an experimental group and a control group. Data sources included pre- and post-test evaluations, learning feedback surveys, and classroom behavior analysis. The results indicate that, com","Yao, Xu and Zhong, Yaozhang and Cao, Weiran",,2025,Scientific Reports,,https://research.ebsco.com/plink/ed8420ed-bba5-3fba-a83e-2f61164f4525,15,1,1-22,2045-2322,academicsearchultimate
Mapping the technological evolution of generative AI: a patent network analysis.,"This study systematically maps the technological evolution and innovation landscape of Generative Artificial Intelligence (GAI) through a large-scale analysis of patent networks. Leveraging advanced text mining, network modeling, and community detection techniques on over 20,000 patents from Lens.org, we identify key technological domains, trace conceptual shifts, and highlight emerging trends across three major periods (pre-2016, 2016–2020, 2021–2025). Results reveal a pivotal transition post-2016 from early modular and domain-specific innovations, such as neuromorphic computing and bioengineering, toward integrated generative frameworks, API-driven platforms, and multi-modal capabilities. The post-2016 era is characterized by rapid growth in patent volume, increased conceptual diversity, and diminishing modularity, reflecting the convergence of previously distinct subfields. Key emergent clusters include generative AI frameworks, advanced medical imaging, personalized interactive sy","Mohammadi, Navid and Heidary Dahooie, Jalil and Bengari, Amir Ali and Rahimi, Arash",Generative artificial intelligence; Technological innovations; Pattern recognition systems; Innovation management; Technology assessment,2025,Scientific Reports,,https://research.ebsco.com/plink/ef0396c2-ac06-30af-82ab-7661bc7949da,15,1,1-25,2045-2322,academicsearchultimate
Impact of generative AI interaction and output quality on university students' learning outcomes: a technology-mediated and motivation-driven approach.,"This study investigates the influence of generative artificial intelligence (GAI) on university students' learning outcomes, employing a technology-mediated learning perspective. We developed and empirically tested an integrated model, grounded in interaction theory and technology-mediated learning theory, to examine the relationships between GAI interaction quality, GAI output quality, and learning outcomes. The model incorporates motivational factors (learning motivation, academic self-efficacy, and creative self-efficacy) as mediators and creative thinking as a moderator. Data from 323 Chinese university students, collected through a two-wave longitudinal survey, revealed that both GAI interaction quality and output quality positively influenced learning motivation and creative self-efficacy. Learning motivation significantly mediated the relationship between GAI output quality and learning outcomes. Furthermore, creative thinking moderated several pathways within the model, with s","Bai, Yun and Wang, Shaofeng",Generative artificial intelligence; Cognitive psychology; Chinese-speaking students; Creative thinking; Educational outcomes,2025,Scientific Reports,,https://research.ebsco.com/plink/6e9636f4-bd69-3fe7-93fd-3ed9ba8ef554,15,1,1-16,2045-2322,academicsearchultimate
Indian research on generative artificial intelligence in healthcare imaging: A comprehensive bibliometric analysis.,"Objectives: This study presents a comprehensive bibliometric analysis of Indian research on the application of generative artificial intelligence (GAI) in healthcare imaging from 2017 to 2025. It aims to evaluate the research output, citation impact, collaborative patterns, and key thematic areas to understand India's position in this rapidly evolving global landscape. Material and Methods: We used a comprehensive search strategy on the Scopus database, limited to publications with an Indian affiliation from 2017 to 2025. Data on author names, affiliations, publication years, keywords, and citations were extracted from 383 records. The analysis employed citation analysis, co-authorship networks, and keyword co-occurrence analysis, with VOSviewer software used for data visualization. Results: Globally, 2,761 papers were published in this field, with an average growth rate of 133.2%. India ranked third globally in publication volume with 383 papers, but its average citations per paper (","Vaishya, Raju and Gupta, Brij Mohan and M, Chaman Sab and Guechairi, Samira and Vaish, Abhishek and Botchu, Rajesh",Generative artificial intelligence; Generative adversarial networks; Computer-assisted image analysis (Medicine); Bibliometrics; Authorship collaboration; Bibliographical citations; University research; India,2025,Journal of Clinical Imaging Science,,https://research.ebsco.com/plink/71c781e4-9a55-3c20-8f8f-c11922960b59,15,12,1-11,2156-7514,academicsearchultimate
"Generative AI for Finance: Applications, Case Studies and Challenges.","Generative AI (GAI), which has become increasingly popular nowadays, can be considered a brilliant computational machine that can not only assist with simple searching and organising tasks but also possesses the capability to propose new ideas, make decisions on its own and derive better conclusions from complex inputs. Finance comprises various difficult and time‐consuming tasks that require significant human effort and are highly prone to errors, such as creating and managing financial documents and reports. Hence, incorporating GAI to simplify processes and make them hassle‐free will be consequential. Integrating GAI with finance can open new doors of possibility. With its capacity to enhance decision‐making and provide more effective personalised insights, it has the power to optimise financial procedures. In this paper, we address the research gap of the lack of a detailed study exploring the possibilities and advancements of the integration of GAI with finance. We discuss applic","Sai, Siva and Arunakar, Keya and Chamola, Vinay and Hussain, Amir and Bisht, Pranav and Kumar, Sanjeev",Generative artificial intelligence; Language models; Evidence gaps; Financial statements; Decision making,2025,Expert Systems,,https://research.ebsco.com/plink/bac9008c-8a5d-394f-b862-35723d6e6ac0,42,3,1-15,0266-4720,academicsearchultimate
The Impact of Generative AI on University Students' Learning Experience: A Study on Cognitive and Affective Outcomes.,"Generative Artificial Intelligence (GenAI) is rapidly transforming higher education, yet its impact on learning experiences remains contested. Existing research often isolates either cognitive outcomes (e.g., comprehension, creativity) or affective outcomes (e.g., motivation, engagement), leaving a gap in integrated analyses that also account for heterogeneity across student groups. This study investigates both dimensions simultaneously by examining university students' perceptions of GenAI, focusing on learning, creativity, motivation, and engagement, alongside perceived risks such as overreliance, ethical concerns, and difficulties in verifying accuracy. Data were collected from 93 students and analyzed through Spearman's correlations and unsupervised clustering (k-means) with PCA visualization. Findings indicate low to moderate positive correlations between GenAI usage and learning outcomes, particularly problem-solving and motivation. Cluster analysis reveals diverse usage-percept","Otman, Sajeda Ben and Otman, Sourur Ben and Adalı, Gökçe Karahan",Generative artificial intelligence; Motivation (Psychology); Psychology of students; Educational outcomes; Experiential learning; Higher education; Ethical problems,2025,Journal of Information & Organizational Sciences,,https://research.ebsco.com/plink/5b36a092-3c12-3ae5-aa2e-98312591b876,49,2,329-344,1846-3312,academicsearchultimate
Exploring Factors Influencing Continuance Intention of Pre-Service Teachers in Using Generative Artificial Intelligence.,"Generative Artificial Intelligence (GAI) holds significant potential to enhance pre-service teacher professional development. However, research has primarily focused on initial acceptance, neglecting post-acceptance behaviours, particularly the factors influencing continued GAI use among pre-service teachers. To address this research gap, this study extends an Expectation-Confirmation Model (ECM) to include information quality and AI self-efficacy as additional determinants. Using the partial least squares structural equation modelling (PLS-SEM) approach, we analysed data from 506 Chinese pre-service teachers. Findings reveal that information quality positively impacts perceived usefulness and expectation confirmation, both of which enhance use satisfaction. Together with AI self-efficacy, these elements emerged as key predictors of intention to continue using GAI, with perceived usefulness as the most direct factor. Contrary to the hypothesis, personal major did not moderate these re","Zheng, Wennan and Ma, Zhiji and Sun, Jingwen and Wu, Qing and Hu, Yongbin",Generative artificial intelligence; Self-efficacy; Teacher education; Satisfaction; Learning; Student teachers; Data quality,2025,International Journal of Human-Computer Interaction,,https://research.ebsco.com/plink/2dff4357-77f8-3de1-b412-13f7a073bac1,41,16,10325-10338,1044-7318,academicsearchultimate
Factors Influencing College Students' Generative Artificial Intelligence Usage Behavior in Mathematics Learning: A Case from China.,"Generative artificial intelligence (GAI) has attracted attention in education as a tool to help college students learn mathematics. This study analyzed the factors influencing their use of GAI by applying the Unified Theory of Acceptance and Use of Technology (UTAUT) and focusing on mathematics motivation. This study involved 331 Chinese college students and used partial least squares structural equation modeling (PLS-SEM) for data analysis. The results showed that college students' behavioral intention to use GAI to support their mathematics learning was directly influenced by performance expectancy, social influence, personal innovativeness, and mathematics motivation. Mathematics motivation, facilitating conditions, individual demand, and behavioral intention, had direct effects on college students' use of GAI in mathematics. The most significant factor influencing both intention and behavior was mathematics motivation. Effort expectancy and individual demand did not affect the int","Lin, Wenqian and Jiang, Peijie",Generative artificial intelligence; Chinese-speaking students; Structural equation modeling; Social influence; Mathematics students,2025,Behavioral Sciences (2076-328X),,https://research.ebsco.com/plink/91ee414d-0a87-3a25-bca4-ea5a9cee496c,15,3,295-null,2076-328X,academicsearchultimate
Using Generative Artificial Intelligence in a Contract Simulation to Promote Student Learning in Business Law.,"Experiential learning plays an important role in teaching business law. This paper builds upon prior research regarding the use of experiential learning activities to teach contract law, by adding the use of generative artificial intelligence to a contract simulation activity. As part of a multi‐week, in‐class simulation, students used generative artificial intelligence to generate contract language and applied the principles learned in an undergraduate business law course to critically evaluate and revise contract terms with instructor guidance. Students perceived that this experiential learning exercise effectively promoted student engagement, critical thinking skills, and learning about contract law and generative artificial intelligence.","Rolf, Rachel E.",Generative artificial intelligence; Contracts; Cognitive development; Commercial law; Critical thinking; Experiential learning; Participation,2025,Journal of Legal Studies Education,,https://research.ebsco.com/plink/97ee076a-295c-3389-8f63-3b7847bba3cc,42,1,7-22,0896-5811,academicsearchultimate
درجة استخدام أعضاء هيئة التدريس ومساعديهم بجامعة إقليم سبأ لتطبيقات الذكاء الاصطناعي التوليدي (GAI) في التعليم الجامعي.,"The study aimed to investigate the extent to which faculty members and their assistants at Seeb Region University use generative artificial intelligence (GAI) applications in higher education, as well as the barriers to their use. The descriptive survey method was employed. The researchers developed a questionnaire consisting of two main sections: (1) Usage level and (2) Usage barriers. The first section was divided into five subdomains covering the use of GAI applications for generating texts, presentations, mind maps, images, and videos, and included 37 items with an option allowing the addition of any applications used by faculty members and their assistants. The second axis consisted of (10) items, and the instrument was administered to a sample of (123) faculty members and their assistants at the university. The main findings indicated that the degree of use of these applications in higher education was generally very low, both overall and across all subdomains. No additional gen",علي محمد عبد الل&amp;#1607 and محمد أحمد علي قب&amp;#1602,"Generative artificial intelligence; Higher education; University research; Questionnaires; College teachers; Innovation adoption; Universities & colleges; Colleges, Universities, and Professional Schools",2026,Al-Andalus journal for Humanities & Social Sciences,,https://research.ebsco.com/plink/af531615-876c-37b6-8e09-55ace05d2d2b,13,150,6-44,2410-1818,academicsearchultimate
